,code,est,alt,lon,lat,grupo
0,114050,ANANEA,4660.0,-69.53385555555555,-14.676277777777774,1
1,115035,ARAPA,3837.0,-70.10904444444444,-15.178572222222225,0
2,114038,AYAVIRI,3941.0,-70.59161111111109,-14.868766666666668,2
3,114041,AZANGARO,3857.0,-70.19047222222223,-14.917194444444444,0
4,115033,CABANILLAS,3885.0,-70.34660833333332,-15.639108333333333,0
5,100021,CAPACHICA,3822.0,-69.84222222222222,-15.613444444444443,0
6,115053,COJATA,4347.0,-69.36115277777778,-15.011791666666667,1
7,115037,HUANCANE,3842.0,-69.75830555555554,-15.20686111111111,0
8,115038,HUARAYA_MOHO,3836.0,-69.48419166666666,-15.388097222222221,0
9,100059,ICHUс,3778.0,-70.54270277777778,-16.14108611111111,0
10,116027,ILAVE,3874.0,-69.64038888888889,-16.059944444444444,0
11,116009,ISLA_SUANA,3840.0,-68.85033333333332,-16.329916666666666,0
12,115138,JULIACA,3838.0,-70.20778333333334,-15.44415,0
13,100081,LAMPA,3866.0,-70.37416666666665,-15.361083333333333,0
14,100088,LOS_UROS,3819.0,-69.97413888888889,-15.820388888888884,0
15,115051,MAсZO,3931.0,-70.3395,-15.799444444444443,2
16,116026,MAZO_CRUZ,3980.0,-69.71544444444444,-16.73888888888889,2
17,114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,2
18,116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,2
19,114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,2
20,115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,0
21,114093,PUTINA,3861.0,-69.87569444444443,-14.921,0
22,115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,2
23,116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,0
24,115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,0
25,472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,0
26,472CF72C,JULIACA,3826.0,-70.17122222222223,-15.471055555555555,0
27,472CB426,LARAQUERI,3928.0,-70.04588888888888,-16.135916666666667,2
28,472E37C6,PALCA,4073.0,-70.59315,-15.235866666666665,2
