index,est,alt,lon,lat,temp,EXP0_DAY,EXP0-OBS,EXP1_DAY,EXP1-OBS,EXP2_DAY,EXP2-OBS,EXP3_DAY,EXP3-OBS,EXP4_DAY,EXP4-OBS,EXP5_DAY,EXP5-OBS,EXP6_DAY,EXP6-OBS,EXP7_DAY,EXP7-OBS,EXP8_DAY,EXP8-OBS,EXP9_DAY,EXP9-OBS,EXP10_DAY,EXP10-OBS
100021,CAPACHICA,3822,-69.84222222222222,-15.613444444444443,10.358241758241755,10.316717147827148,-0.04152461041460676,10.588397026062012,0.2301552678202565,10.388426780700684,0.0301850224589284,10.67531681060791,0.31707505236615496,10.571337699890137,0.21309594164838155,10.539658546447754,0.1814167882059987,10.237987518310547,-0.12025423993120833,10.239296913146973,-0.11894484509478255,10.415834426879883,0.05759266863812763,9.917279243469238,-0.4409625147725169,10.298673629760742,-0.05956812848101301
100059,ICHUс,3778,-70.54270277777778,-16.14108611111111,12.716091954022989,9.400727272033693,-3.3153646819892977,9.769354820251463,-2.946737133771524,9.444854736328123,-3.2712372176948636,9.868074417114258,-2.8480175369087317,9.67257022857666,-3.0435217254463285,9.734299659729004,-2.9817922942939847,9.434835433959961,-3.281256520063028,9.472451210021973,-3.2436407440010164,9.557024955749512,-3.1590669982734774,9.234509468078613,-3.4815824859443767,9.496179580688477,-3.2199123733345125
100088,LOS_UROS,3819,-69.97413888888889,-15.820388888888884,11.258139534883725,10.469110488891602,-0.7890290459921232,10.505045890808104,-0.7530936440756193,10.72536563873291,-0.5327738961508146,10.813741683959961,-0.4443978509237638,11.23318576812744,-0.02495376675628336,11.181203842163086,-0.07693569272063883,10.767474174499512,-0.490665360384213,10.852334022521973,-0.4058055123617521,11.016336441040039,-0.2418030938436857,10.369184494018556,-0.8889550408651701,10.835271835327148,-0.4228676995565763
114038,AYAVIRI,3941,-70.59161111111109,-14.868766666666668,11.162637362637362,10.419875144958496,-0.742762217678866,10.489806175231934,-0.6728311874054285,10.674108505249023,-0.4885288573883386,10.75577449798584,-0.4068628646515222,10.19758415222168,-0.9650532104156824,10.212238311767578,-0.950399050869784,9.55463409423828,-1.6080032683990808,9.493159294128418,-1.6694780685089443,9.657049179077148,-1.5055881835602136,9.453795433044434,-1.7088419295929285,9.48018741607666,-1.6824499465607021
114040,PROGRESO,3925,-70.36780555555555,-14.671694444444444,10.939560439560445,10.01201629638672,-0.9275441431737264,10.079072952270508,-0.8604874872899373,10.318280220031738,-0.6212802195287068,10.450603485107422,-0.4889569544530232,9.78946590423584,-1.1500945353246053,9.89345645904541,-1.0461039805150352,9.135621070861816,-1.8039393686986287,9.030000686645508,-1.9095597529149373,9.264615058898926,-1.674945380661519,9.122875213623047,-1.8166852259373985,9.079442977905273,-1.860117461655172
114041,AZANGARO,3857,-70.19047222222223,-14.917194444444444,11.541573033707865,11.080580711364746,-0.4609923223431185,11.038739204406738,-0.5028338293011263,11.30933666229248,-0.2322363714153841,11.326151847839355,-0.2154211858685091,10.750638961791992,-0.7909340719158724,11.607382774353027,0.06580974064516276,10.697776794433594,-0.8437962392742708,11.048388481140137,-0.4931845525677279,10.993826866149902,-0.5477461675579622,10.920275688171387,-0.6212973455364779,10.839354515075684,-0.702218518632181
114042,MUсNI,3932,-69.95180555555554,-14.766944444444444,10.902247191011236,9.719385147094727,-1.1828620439165096,9.918294906616213,-0.9839522843950252,9.909255027770996,-0.99299216324024,10.10644817352295,-0.795799017488287,9.835084915161133,-1.0671622758501034,9.91653060913086,-0.9857165818803768,9.281574249267578,-1.6206729417436583,9.146871566772461,-1.7553756242387752,9.351069450378418,-1.5511777406328182,9.125550270080566,-1.7766969209306698,9.267229080200195,-1.6350181108110409
114093,PUTINA,3861,-69.87569444444443,-14.921,11.066483516483512,10.575289726257324,-0.4911937902261876,10.841741561889648,-0.22474195459386334,10.723170280456543,-0.34331323602696884,10.97337818145752,-0.09310533502599228,10.790679931640623,-0.2758035848428868,10.864052772521973,-0.20243074396153915,10.162837982177734,-0.9036455343057774,10.174104690551758,-0.892378825931754,10.35894012451172,-0.7075433919717931,10.020919799804688,-1.0455637166788243,10.260513305664062,-0.8059702108194493
115049,ISLA_TAQUILE,3837,-69.69105555555556,-15.770194444444444,11.410344827586204,10.374407768249512,-1.0359370593366926,10.506668090820312,-0.9036767367658918,10.54499053955078,-0.865354288035423,10.630304336547852,-0.7800404910383527,10.532898902893066,-0.8774459246931379,10.521509170532227,-0.8888356570539777,10.077815055847168,-1.3325297717390363,10.97091007232666,-0.4394347552595441,10.437816619873047,-0.9725282077131574,11.389800071716307,-0.02054475586989568,10.251991271972656,-1.1583535556135478
115138,JULIACA,3838,-70.20778333333334,-15.44415,11.807692307692303,11.115766525268556,-0.6919257824237484,11.288832664489744,-0.5188596432025571,11.221823692321776,-0.5858686153705257,11.401607513427734,-0.4060847942645687,11.25141716003418,-0.5562751476581234,11.28596019744873,-0.5217321102435726,10.89294147491455,-0.9147508327777524,10.841493606567383,-0.9661987011249202,10.98652458190918,-0.8211677257831234,10.37532901763916,-1.4323632900531431,10.934415817260742,-0.8732764904315609
115140,SANTA_LUCIA,4045,-70.5992722222222,-15.694075,10.304545454545453,8.521211624145508,-1.783333830399945,8.819375038146973,-1.4851704163984802,8.568157196044924,-1.736388258500531,8.924978256225586,-1.379567198319867,8.635287284851074,-1.669258169694379,8.64144229888916,-1.6631031556562927,8.353194236755371,-1.9513512177900816,8.173489570617676,-2.1310558839277767,8.424956321716309,-1.8795891328291443,7.757954597473144,-2.5465908570723084,8.354972839355469,-1.949572615189984
