index,est,alt,lon,lat,DAY,EXP0_DAY,EXP0-OBS,EXP1_DAY,EXP1-OBS,EXP2_DAY,EXP2-OBS,EXP3_DAY,EXP3-OBS,EXP4_DAY,EXP4-OBS,EXP5_DAY,EXP5-OBS,EXP6_DAY,EXP6-OBS,EXP7_DAY,EXP7-OBS,EXP8_DAY,EXP8-OBS,EXP9_DAY,EXP9-OBS,EXP10_DAY,EXP10-OBS
100021,CAPACHICA,3822,-69.84222222222222,-15.613444444444443,4.8213199851687065,5.185047626495361,0.3637276413266548,4.216947555541991,-0.6043724296267143,3.427721738815308,-1.3935982463533991,4.029962062835693,-0.7913579223330132,4.1779608726501465,-0.64335911251856,4.0308451652526855,-0.790474819916021,7.789705276489258,2.9683852913205517,5.64884614944458,0.8275261642758736,4.236504077911377,-0.5848159072573296,6.9552812576293945,2.1339612724606885,5.4091339111328125,0.587813925964106
100088,LOS_UROS,3819,-69.97413888888889,-15.820388888888884,4.22484126984127,4.06671667098999,-0.1581245988512796,3.708662748336792,-0.5161785215044778,3.196795463562012,-1.028045806279258,3.172383069992065,-1.0524581998492044,3.673853635787964,-0.5509876340533061,3.8746216297149663,-0.35021964012630397,6.48377799987793,2.2589367300366603,5.342087745666504,1.1172464758252343,4.090944290161134,-0.13389697968013706,7.0058045387268075,2.7809632688855372,6.319645881652832,2.0948046118115617
114042,MUсNI,3932,-69.95180555555554,-14.766944444444444,4.189167662285942,3.918056964874268,-0.2711106974116744,4.008552074432373,-0.1806155878535689,3.4522922039031982,-0.7368754583827437,3.46875262260437,-0.7204150396815718,4.392538547515868,0.2033708852299272,3.8143961429595943,-0.3747715193263472,9.140704154968262,4.951536492682321,5.790717124938965,1.6015494626530233,4.7886223793029785,0.5994547170170366,7.4025206565856925,3.2133529942997514,5.248453140258789,1.0592854779728471
114093,PUTINA,3861,-69.87569444444443,-14.921,4.4502410085279935,2.9730594158172607,-1.4771815927107328,2.927445650100708,-1.5227953584272855,3.2730116844177246,-1.1772293241102691,2.902473926544189,-1.5477670819838039,2.945731401443481,-1.5045096070845119,2.633432626724243,-1.8168083818037504,7.0250678062438965,2.5748267977159034,5.555994033813477,1.1057530252854828,4.058483123779297,-0.3917578847486967,7.252040386199951,2.8017993776719576,5.548941135406494,1.0987001268785006
115027,PAMPAHUTA,4316,-70.6759861111111,-15.483686111111107,6.6999999999999975,3.6821038722991934,-3.017896127700803,4.1832494735717765,-2.51675052642822,2.7296395301818848,-3.9703604698181127,2.7958576679229736,-3.904142332077024,5.106695652008057,-1.5933043479919409,4.818952560424805,-1.8810474395751928,7.650105476379394,0.9501054763793969,7.64478874206543,0.9447887420654322,7.113751411437987,0.4137514114379908,5.8351593017578125,-0.8648406982421851,8.822450637817383,2.1224506378173853
115033,CABANILLAS,3885,-70.34660833333332,-15.639108333333333,4.291286614757137,2.4582464694976807,-1.8330401452594565,2.740464210510254,-1.5508224042468832,1.8636391162872317,-2.4276474984699057,1.981299638748169,-2.309986976008968,2.8252482414245605,-1.4660383733325766,2.7530033588409424,-1.5382832559161947,6.803740978240968,2.5124543634838297,4.635489463806152,0.3442028490490152,4.843438625335693,0.5521520105785562,5.132243633270264,0.8409570185131265,3.997735261917114,-0.2935513528400229
115035,ARAPA,3837,-70.10904444444444,-15.178572222222225,3.9946978123841297,2.5713062286376958,-1.4233915837464344,2.7420153617858887,-1.252682450598241,2.3519132137298584,-1.6427845986542713,2.224762201309204,-1.7699356110749256,2.23431134223938,-1.7603864701447498,1.979672074317932,-2.0150257380661976,5.637551307678223,1.642853495294093,4.6809725761413565,0.6862747637572277,3.5052306652069087,-0.4894671471772205,5.78181266784668,1.78711485546255,3.833220481872559,-0.1614773305115711
115037,HUANCANE,3842,-69.75830555555554,-15.20686111111111,4.2980719317760485,3.0450763702392583,-1.2529955615367907,3.4673612117767334,-0.8307107199993151,3.3711886405944824,-0.926883291181566,2.68257737159729,-1.6154945601787585,3.1550118923187256,-1.143060039457323,2.638757944107056,-1.6593139876689929,6.3548760414123535,2.056804109636305,4.4603919982910165,0.1623200665149671,3.009723663330078,-1.2883482684459704,6.266060829162598,1.9679888973865487,3.6750659942626953,-0.6230059375133532
115047,TARACO,3828,-69.97247222222222,-15.311666666666667,3.225583982202448,2.798706293106079,-0.426877689096369,2.485827207565308,-0.7397567746371405,2.4268219470977783,-0.7987620351046698,2.4681692123413086,-0.7574147698611395,2.7173309326171875,-0.5082530495852606,2.6734368801116943,-0.5521471020907538,5.597636222839356,2.372052240636908,4.28645658493042,1.0608726027279718,3.460413694381714,0.2348297121792657,5.134233951568604,1.9086499693661556,3.341362476348877,0.11577849414642882
115052,RINCON_DE_LA_CRUZ,3887,-69.80961111111111,-15.990166666666665,5.572413793103448,5.808046340942383,0.2356325478389349,6.148580551147461,0.5761667580440131,4.581482887268066,-0.9909309058353816,4.53626823425293,-1.0361455588505182,5.699863910675049,0.12745011757160096,5.72364616394043,0.15123237083698182,8.640329360961914,3.0679155678584666,7.764188289642334,2.191774496538886,5.737876892089844,0.16546309898639588,7.839581966400146,2.2671681732966986,6.841384410858153,1.2689706177547064
